               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.028112,            0.013979,           0.0064561,             0.63638,             0.73033,             0.73068,             0.38764,            0.030512,            0.005522,           0.0085918,           0.0098416,           0.0098416,           0.0098416
                  66,            0.027884,            0.013949,           0.0063698,              0.6872,             0.69201,             0.73805,             0.40891,             0.02877,           0.0053899,            0.014724,           0.0098391,           0.0098391,           0.0098391
                  67,            0.027589,            0.014076,            0.006669,             0.66791,              0.6131,             0.68272,             0.33672,            0.032886,           0.0056925,            0.014795,           0.0098367,           0.0098367,           0.0098367
                  68,            0.028366,            0.014189,           0.0065272,             0.69926,             0.58451,             0.67145,             0.37734,            0.028078,           0.0057716,            0.014655,           0.0098342,           0.0098342,           0.0098342
                  69,             0.02654,             0.01403,           0.0065142,             0.64625,              0.6482,             0.63905,             0.34699,            0.031548,           0.0063241,             0.01959,           0.0098317,           0.0098317,           0.0098317
                  70,            0.027164,            0.013723,           0.0060992,             0.58965,             0.66017,             0.65871,             0.33232,            0.031721,           0.0060463,            0.013433,           0.0098292,           0.0098292,           0.0098292
                  71,            0.028682,            0.013646,            0.007029,             0.66491,               0.748,             0.71219,             0.37909,            0.030674,           0.0057707,            0.025616,           0.0098268,           0.0098268,           0.0098268
                  72,            0.027707,             0.01388,           0.0065532,             0.43391,             0.67613,             0.55138,             0.29725,             0.02817,            0.006161,            0.023772,           0.0098243,           0.0098243,           0.0098243
                  73,            0.028069,             0.01382,           0.0069103,             0.75272,             0.51001,             0.64113,             0.35302,            0.029225,           0.0060928,            0.038841,           0.0098218,           0.0098218,           0.0098218
                  74,            0.027759,             0.01429,           0.0067617,             0.58138,             0.73458,             0.69804,             0.36967,            0.028495,           0.0059078,            0.013789,           0.0098193,           0.0098193,           0.0098193
                  75,            0.028177,            0.014198,           0.0076154,             0.53782,             0.61589,             0.57878,             0.28443,            0.031154,           0.0061784,             0.01929,           0.0098169,           0.0098169,           0.0098169
                  76,            0.027394,            0.013436,           0.0063861,              0.6316,             0.59612,             0.56367,             0.25143,            0.034499,           0.0059345,            0.020804,           0.0098144,           0.0098144,           0.0098144
                  77,            0.026943,            0.013663,            0.005661,             0.65368,             0.72565,             0.71556,             0.36243,            0.028102,           0.0060802,            0.022025,           0.0098119,           0.0098119,           0.0098119
                  78,            0.027657,            0.013548,            0.005993,             0.56724,             0.67983,             0.64521,             0.33954,            0.029264,           0.0060709,             0.02214,           0.0098094,           0.0098094,           0.0098094
                  79,            0.027064,             0.01344,           0.0059284,              0.6169,             0.72656,             0.72842,             0.37233,            0.030116,           0.0051968,            0.012889,            0.009807,            0.009807,            0.009807
                  80,            0.027295,            0.013244,           0.0059051,             0.74159,             0.73304,             0.77871,             0.39961,            0.028184,           0.0052905,            0.007794,           0.0098045,           0.0098045,           0.0098045
                  81,             0.02679,            0.013717,           0.0060983,             0.58542,             0.68782,             0.66297,             0.34894,            0.029466,           0.0058625,            0.015331,            0.009802,            0.009802,            0.009802
                  82,            0.025744,            0.013621,           0.0055599,             0.67601,             0.72514,             0.70916,             0.35095,            0.031238,           0.0057864,            0.026739,           0.0097995,           0.0097995,           0.0097995
                  83,            0.027131,            0.013385,           0.0077595,             0.54077,             0.51648,             0.48809,             0.26118,            0.030207,           0.0067623,            0.040425,            0.009797,            0.009797,            0.009797
                  84,            0.026515,            0.013867,           0.0071764,             0.63259,             0.68894,             0.66421,             0.34905,            0.033281,           0.0060098,            0.031531,           0.0097946,           0.0097946,           0.0097946
                  85,            0.025825,            0.013421,           0.0057494,             0.62867,             0.63551,             0.65542,             0.34076,            0.030719,           0.0055943,              0.0154,           0.0097921,           0.0097921,           0.0097921
                  86,            0.026703,            0.013945,           0.0061525,             0.65403,             0.72276,             0.71144,             0.33756,            0.032894,           0.0057824,            0.025053,           0.0097896,           0.0097896,           0.0097896
                  87,            0.025551,            0.013239,            0.005553,             0.73674,             0.60579,             0.66207,             0.32117,            0.032686,           0.0055487,            0.014521,           0.0097871,           0.0097871,           0.0097871
                  88,            0.026045,            0.013431,           0.0051913,             0.64375,              0.7491,             0.72393,             0.39647,            0.030451,           0.0055156,            0.011199,           0.0097847,           0.0097847,           0.0097847
                  89,            0.025623,            0.012968,           0.0059689,             0.72222,             0.70209,              0.7448,             0.39855,            0.030726,           0.0055456,            0.010892,           0.0097822,           0.0097822,           0.0097822
                  90,            0.025042,            0.012668,           0.0051578,             0.72293,             0.65463,             0.67661,              0.3655,            0.031185,           0.0055571,            0.010356,           0.0097797,           0.0097797,           0.0097797
                  91,            0.024843,            0.012971,           0.0049526,             0.61475,             0.70319,             0.68046,             0.39621,            0.027568,           0.0059104,            0.021964,           0.0097773,           0.0097773,           0.0097773
                  92,            0.025889,             0.01308,           0.0054115,             0.61273,             0.66285,              0.6635,             0.35718,             0.02847,           0.0059283,            0.010281,           0.0097748,           0.0097748,           0.0097748
